company,com_rating,job1,location,Salary_min($),Salary_max($)
"DVF Studio, LLC",2.9,Master Data Analyst,"New York, NY",49000,79000
IPRO,3.2,Data Analyst,"Lake Success, NY",41000,63000
Fidelis Group,3.5,Data Analyst,"Little Ferry, NJ",36000,57000
Lorven Technologies Inc,4,Data Analyst - Analytics/SQL,"New York, NY",47000,76000
Colgate-Palmolive,4,Data Analyst,"Piscataway, NJ",52000,88000
Chubb,3.4,Data Analyst,"Whitehouse Station, NJ",67000,106000
IQVIA,3.5,Data Analyst (Home-based) - Eastern Timezone - XWA,"New York, NY",43000,73000
Alibaba Group,4,ICBU Senior Data Analyst Alibaba.com,"New York, NY",83000,126000
"TechnoSphere, Inc",4.9,Junior/Mid-level Data Analyst with AML,"New York, NY",36000,59000
Itlize Global,4.7,Data Analyst,"Piscataway, NJ",39000,65000
IEEE,3.4,Data Analyst,"Piscataway, NJ",38000,62000
Noom US,4.4,Senior Data Analyst,"New York, NY",66000,105000
WW International (formerly Weight Watchers),3.1,Data Analyst,"New York, NY",50000,82000
Legg Mason,2.9,Data Governance Analyst,"New York, NY",59000,95000
Tata Consultancy Services (North America),3.7,Data Modeler/analyst,"New York, NY",84000,113000
Sony Music Entertainment,4.1,"Senior Data Operations Analyst, Data Analytics","New York, NY",68000,98000
Brown Brothers Harriman,3.2,Data Governance Technical Analyst,"Jersey City, NJ",60000,102000
LOGIXtech Solutions,2.9,Business Data Analyst w/ SQL,"New York, NY",74000,111000
Square,3.9,Senior Compliance Data Analyst,"New York, NY",75000,116000
The Shade Store,3.3,Business and Data Analyst,"Port Chester, NY",47000,77000
Taboola,3.8,"Data Analyst, Business Intelligence","New York, NY",49000,78000
Talent Inc.,3.8,Senior Data Analyst,"New York, NY",54000,91000
Sphinix Network Solutions Inc.,1,Tech Business/Data Analyst,"New York, NY",44000,67000
WW International (formerly Weight Watchers),3.1,Data Analyst (Marketing Analytics),"New York, NY",45000,76000
Catholic Health Services of Long Island,3.2,Data Analyst,"Roslyn, NY",65000,96000
EmblemHealth,2.7,Data Governance Analyst Technical Steward,"New York, NY",75000,107000
Lovesac,2.9,Data Analyst,"Stamford, CT",36000,59000
Cantor Fitzgerald,2.5,"Cantor Fitzgerald: Client Data Management, Analyst","New York, NY",50000,80000
SmartSource Rentals,3.6,Data Analyst,"Hauppauge, NY",50000,84000
The Orchard,3.4,"Senior Data Operations Analyst, Data Analytics","New York, NY",50000,73000
Regeneron,3.7,"NGS Data Analyst, Regeneron Genetics Center","Tarrytown, NY",59000,96000
Mount Sinai Medical Center,3.1,"Data Analyst II, Environmental Medicine and Public Health","New York, NY",54000,80000
Amazon,3.8,Sr. Business Intelligence Engineer / Data Analyst,"New York, NY",104000,143000
UBS,3.5,Data Lineage Analyst - Data Governance,"New York, NY",83000,115000
Diverse Lynx,3.6,QlikSense / Data Analyst,"Jersey City, NJ",51000,86000
Compu-Vision Consulting Inc.,3.3,Data Mapper/ Data Analyst,"New York, NY",74000,120000
Emblem Health,2.7,Data Governance Analyst,"New York, NY",54000,85000
Diverse Lynx,3.6,Sure shot: Data Analyst with SQL/PLSQL/BI/Datawarehousing,"New York, NY",51000,86000
"Discovery Communications, Inc.",3.5,Sr Data Analyst,"New York, NY",69000,113000
"TechnoSphere, Inc",4.9,AML Data Analyst,"New York, NY",45000,75000
ACA Compliance Group,4.3,Data Analyst,"New York, NY",39000,65000
Public Consulting Group,3.2,Data Analyst,"Princeton, NJ",50000,78000
Metroplus Health Plan,3,Data Quality Analyst,"New York, NY",48000,73000
New York City Taxi and Limousine Commission,3.6,Program Data Analyst,"New York, NY",38000,65000
Momentum Resource Solutions,3.6,Financial Data Analyst (Healthcare),"New York, NY",45000,72000
Moxie,3.1,"Analyst, Data Architecture","New York, NY",102000,145000
Lorven Technologies Inc,4,Data Analyst,"New York, NY",47000,76000
BGC Partners,3.1,"Cantor Fitzgerald: Client Data Management, Analyst","New York, NY",57000,92000
TechProjects,4.8,Data Analyst-Junior Profiles also works-Only NY/NJ Candidates Please on w2 Only,"Jersey City, NJ",41000,63000
eTeam Inc.,4,Senior Data Analyst,"New York, NY",80000,129000
Citadel,4.3,"Office of the CAO | Reference Data, Project Manager/Business Analyst","New York, NY",122000,164000
NYU Langone Health,4,Data Analyst,"New York, NY",51000,75000
Compu-Vision Consulting Inc.,3.3,Data Analyst - Compu-Vision Consulting Inc.,"New York, NY",73000,119000
Montefiore Medical,3.6,DATA ANALYST PATIENT EXPERIENCE,"New York, NY",51000,77000
Hospital for Special Surgery,4.2,Compliance Data Analyst,"New York, NY",52000,77000
Verizon,3.6,Data Analyst,"Basking Ridge, NJ",54000,84000
M&T Bank,3.3,Salesforce Data Analyst,"New York, NY",53000,84000
Seven Seven Softwares,3.5,Data Analyst,"Newark, NJ",53000,90000
Vera Institute of Justice,2.7,"Data Analyst, CIJ","New York, NY",38000,64000
Mount Sinai Medical Center,3.1,"Data Analyst I, Department of Psychiatry","New York, NY",38000,58000
SoFi,3.6,"Senior/Staff Data Scientist, Analyst","New York, NY",156000,209000
MediaMath,3.7,Senior Data Analyst,"New York, NY",56000,87000
Citi,3.6,Sr. Reference Data Business Analyst - SQL,"Jersey City, NJ",81000,133000
Empower Professionals,4.7,Data Analyst - Empower Professionals,"Jersey City, NJ",50000,85000
RELX Group,3.9,Fraud Data Analyst,"New York, NY",42000,70000
VIVA USA,4.6,Data Analyst,"Tarrytown, NY",45000,76000
Guardian Life,3.4,2020 Data Systems Analyst Inernship,"Freehold, NJ",53000,98000
AC Lion (2),4.2,"Data Analyst, Go-Live","New York, NY",40000,67000
Cross River Bank,3.8,Data Analyst,"Fort Lee, NJ",46000,74000
Mount Sinai Health System,3.4,Data Science Analyst I Computational Biology - Genetics,"New York, NY",61000,95000
S&P GLOBAL MARKET INTELLIGENCE,3.5,Quantitative Analyst/Data Scientist,"New York, NY",96000,155000
Ideal Innovations,3.9,Data Analyst,"Wharton, NJ",59000,99000
City of New York,3.5,"Senior Data Analyst M/WBE, Enterprise Data Services","New York, NY",73000,120000
Berkeley Point Capital Holdings,3.6,"Cantor Fitzgerald: Client Data Management, Analyst","New York, NY",46000,74000
Diversified,3.4,"Data & Reporting Business Analyst - Kenilworth, NJ","New York, NY",56000,92000
Asembia,2.7,Data Analyst,"Florham Park, NJ",51000,86000
Newmark Knight Frank,3,"Cantor Fitzgerald: Client Data Management, Analyst","New York, NY",44000,70000
Sumitomo Mitsui Banking Corporation (SMBC),3.1,"Data Analyst (Americas Transformation & Strategy Department) in New York, New York | Careers at New York","New York, NY",45000,71000
Info. Objects,3.8,"Data Analyst with Tableau (CTH ROLE, direct onsite , Only Locals)","New Hyde Park, NY",36000,61000
Softpath System LLC,3.8,Data Analyst 3,"New York, NY",52000,87000
Pfizer,4,"Senior Associate, Data Management Reporting Analyst, Central Services","Peapack, NJ",75000,112000
J.P. Morgan,3.9,"Marketing Data Management Analyst, Corporate & Investment Bank","New York, NY",48000,77000
Citibank,3.4,Sr. Reference Data Business Analyst - SQL,"Jersey City, NJ",99000,152000
Wyndham Hotels & Resorts,3.9,Hotel Program Operations and Data Analyst,"Parsippany, NJ",48000,80000
Compu-Vision Consulting Inc.,3.3,Data Analyst - Compu-Vision Consulting Inc.,"New York, NY",73000,119000
"CGI Group, Inc.",3.5,Data Analyst,"New York, NY",58000,95000
Hospital for Special Surgery,4.2,Compliance Data Analyst,"New York, NY",52000,77000
Hackensack Meridian Health,3.7,Clinical Data Analyst,"Edison, NJ",55000,83000
Verizon,3.6,Data Analyst,"Basking Ridge, NJ",54000,84000
Seven Seven Softwares,3.5,Data Analyst,"Newark, NJ",53000,90000
Vera Institute of Justice,2.7,"Data Analyst, CIJ","New York, NY",38000,64000
M&T Bank,3.3,Salesforce Data Analyst,"New York, NY",53000,84000
Mount Sinai Medical Center,3.1,"Data Analyst I, Department of Psychiatry","New York, NY",38000,58000
Compass,4.3,Senior Data Analyst,"New York, NY",87000,132000
SoFi,3.6,"Senior/Staff Data Scientist, Analyst","New York, NY",156000,209000
Dow Jones,3.4,Audience Data Analyst,"New York, NY",47000,75000
EY,3.7,"Data Analyst, Data & Analytics (Advanced Analytics) (Manager) (Multiple Positions)","Iselin, NJ",89000,123000
Virtus Partners LLC,3,Data Analyst II or III,"New York, NY",46000,74000
MediaMath,3.7,Senior Data Analyst,"New York, NY",56000,87000
"Mercedes-Benz USA, LLC",3.6,"Data Analyst, Accessories Supply Planning","Atlanta, GA",46000,74000
Mount Sinai Health System,3.4,Data Analyst II - Genetics,"New York, NY",59000,87000
Empower Professionals,4.7,Data Analyst - Empower Professionals,"Jersey City, NJ",50000,85000
Citi,3.6,Sr. Reference Data Business Analyst - SQL,"Jersey City, NJ",81000,133000
VIVA USA,4.6,Data Analyst,"Tarrytown, NY",45000,76000
RELX Group,3.9,Fraud Data Analyst,"New York, NY",42000,70000
Guardian Life,3.4,2020 Data Systems Analyst Inernship,"Freehold, NJ",53000,98000
AC Lion (2),4.2,"Data Analyst, Go-Live","New York, NY",40000,67000
Mount Sinai Health System,3.4,Data Science Analyst I Computational Biology - Genetics,"New York, NY",61000,95000
AdvantageCare Physicians,2.1,Lead Data Analyst,"New York, NY",81000,120000
Latham & Watkins,3.7,Marketing Communications Data Analyst,"New York, NY",69000,115000
S&P GLOBAL MARKET INTELLIGENCE,3.5,Quantitative Analyst/Data Scientist,"New York, NY",96000,155000
Cross River Bank,3.8,Data Analyst,"Fort Lee, NJ",46000,74000
City of New York,3.5,"Senior Data Analyst M/WBE, Enterprise Data Services","New York, NY",73000,120000
Mount Sinai Medical Center,3.1,"Data Analyst I, Department of OBGYN","New York, NY",41000,60000
Berkeley Point Capital Holdings,3.6,"Cantor Fitzgerald: Client Data Management, Analyst","New York, NY",46000,74000
Horizon Blue Cross Blue Shield of New Jersey,3.4,Data Reporting Analyst II,"Newark, NJ",53000,89000
Genpact,3.5,Data Analyst (Data Quality & Management),"New York, NY",43000,71000
Montefiore Medical,3.6,DATA ANALYST PROGRAMMER,"New York, NY",45000,68000
New York City Department of Education .,3.5,"Business/Reporting Analyst, Office of Data Management","New York, NY",57000,95000
Ideal Innovations,3.9,Data Analyst,"Wharton, NJ",59000,99000
Asembia,2.7,Data Analyst,"Florham Park, NJ",51000,86000
Montefiore Medical,3.6,PAYROLL DATA ANALYST,"New York, NY",45000,68000
Diversified,3.4,"Data & Reporting Business Analyst - Kenilworth, NJ","New York, NY",56000,92000
Info. Objects,3.8,"Data Analyst with Tableau (CTH ROLE, direct onsite , Only Locals)","New Hyde Park, NY",36000,61000
Healthfirst (New York),2.8,Senior Data Analyst,"New York, NY",95000,135000
Brown Brothers Harriman,3.2,Data Platforms Senior Systems Business Analyst,"Jersey City, NJ",78000,122000
Newmark Knight Frank,3,"Cantor Fitzgerald: Client Data Management, Analyst","New York, NY",44000,70000
Walmart,3.2,Data Governance Business Analyst,"Hoboken, NJ",52000,81000
Elsevier,3.5,Fraud Data Analyst,"New York, NY",41000,68000
Pfizer,4,"Senior Associate, Data Management Reporting Analyst, Central Services","Peapack, NJ",75000,112000
SEMA4,3.1,Data Analyst - Pharma LifeSciences,"Stamford, CT",56000,89000
The Bank of New York Mellon,3.1,Principal Data Analyst-Data Architect,"Florham Park, NJ",158000,223000
Emblem Health,2.7,Senior Data Analyst,"New York, NY",68000,109000
Softpath System LLC,3.8,Data Analyst 4,"New York, NY",63000,104000
Sphinix Network Solutions Inc.,1,Data Analyst-BA,"New York, NY",40000,67000
Harry's,3.4,Senior Data Analyst,"New York, NY",66000,102000
Saratoga Medical Center,4.3,Compensation and Data Analyst (Human Resources),"New York, NY",59000,85000
Softpath System LLC,3.8,Data Analyst 3,"New York, NY",52000,87000
Sumitomo Mitsui Banking Corporation (SMBC),3.1,"Data Analyst (Americas Transformation & Strategy Department) in New York, New York | Careers at New York","New York, NY",45000,71000
AdvantageCare Physicians,2.1,Senior Data Analyst,"New York, NY",88000,126000
J.P. Morgan,3.9,"Marketing Data Management Analyst, Corporate & Investment Bank","New York, NY",48000,77000
Charles River Associates,4.6,Data Analyst and Data Scientist,"Summit, NJ",53000,85000
Citibank,3.4,Sr. Reference Data Business Analyst - SQL,"Jersey City, NJ",99000,152000
Chubb,3.4,Senior Reporting & Data Analyst,"Whitehouse Station, NJ",103000,155000
NYU,4.2,Senior Forensic Data Analyst,"New York, NY",55000,86000
Catholic Home Care,2.5,Data Analyst,"Roslyn, NY",58000,86000
Centers Plan for Healthy Living,2.2,Data & Interface Analyst,"Staten Island, NY",44000,70000
Global Atlantic Financial Group,4.3,Mortgage Whole Loan Data & Collateral Analyst,"New York, NY",44000,66000
Citadel,4.3,"Office of the CAO | Reference Data, Operations Analyst","New York, NY",68000,92000
Argus Information & Advisory Services,4,Regulatory Data & Risk Analyst,"White Plains, NY",51000,78000
Spark Foundry,3.1,"Analyst, Data Architecture","New York, NY",73000,107000
IPG Mediabrands,3.6,Orion - Media Data Analyst,"New York, NY",38000,60000
Fragomen Worldwide,3.1,Data Privacy Analyst,"Matawan, NJ",65000,83000
Citi,3.6,"Investment Banking, Summer Analyst: Data Science Analyst, M&A Strategic Shareholder Advisory","New York, NY",98000,122000
AdvantageCare Physicians,2.1,Data Governance Analyst Technical Steward,"New York, NY",85000,128000
Boehringer Ingelheim,3.8,Central Data Science Solutions (CDSS) Business Analyst or Principal Business Analyst,"Ridgefield, NJ",67000,109000
Diversified,3.4,Data & Reporting Business Analyst - Kenilworth,"Hoboken, NJ",56000,92000
Hunterdon Healthcare,3.3,Data Analyst/Report Writer,"Flemington, NJ",50000,77000
Converseon Inc.,3.8,Senior Data Analyst,"New York, NY",48000,79000
Atlas,3.4,Business Analyst/Data Analyst,"Parsippany, NJ",51000,87000
eTeam Inc.,4,Data Analyst / IT Data and Business Intelligence,"Jersey City, NJ",62000,105000
APN Consulting,4.2,Data Analyst - II,"New York, NY",54000,83000
NPD,3.8,Data Analyst,"Port Washington, NY",38000,61000
Capgemini,3.7,Senior Data Analyst,"New York, NY",84000,133000
AdvantageCare Physicians,2.1,Data Governance Analyst,"New York, NY",53000,84000
Live Nation Entertainment,3.8,"Sr. Data Analyst, Data Analytics & Audience Science","New York, NY",84000,134000
Lockheed Martin,3.8,Configuration/Data Analyst,"Uniondale, NY",65000,103000
AT&T,3.4,"Senior Business Analyst, Data Management & Business Intelligence Systems","New York, NY",61000,91000
Clinique,3.6,Senior Data Analyst,"New York, NY",58000,91000
Risk Solutions,3.7,Fraud Data Analyst,"New York, NY",40000,62000
Callisto Media,4.7,Lead Data Analyst,"New York, NY",50000,84000
UBS,3.5,Senior Business Data Analyst,"Weehawken, NJ",70000,106000
Visiting Nurse Service of New York,3.7,"Data Analyst, CHOICE","New York, NY",48000,72000
DATA Inc.,4.1,Business and Data Analyst,"Stamford, CT",43000,70000
Diverse Lynx,3.6,Technical Data Analyst - Diverse Lynx,"Jersey City, NJ",57000,97000
Freeman,3.5,Senior Data Business Analyst,"New York, NY",77000,117000
